controller,trajectory,pos_rmse,heading_rmse,effort,compute_ms_mean,compute_ms_max
ppo,circle,0.2002725832971784,0.16179446481917636,12831.411444026133,0.09965283027850091,24.33404204202816
ppo,figure8,0.16962164383038814,0.12114997737604337,18032.382223888515,0.0753279125589567,0.18670898862183094
ppo,waypoints,0.9736581502193571,0.4080857834541286,58069.020920711104,0.07960500725312158,0.25887502124533057
sac,circle,0.5048870528229613,0.051507068955973234,15001.458097175304,0.11810204936773516,0.5575409741140902
sac,figure8,0.47733185833575575,0.45877546885364295,61359.63312643783,0.11683168446567531,0.2571669756434858
sac,waypoints,0.8268273611697926,0.21979502306354307,70339.60154874048,0.11632751807337627,0.19249995239078999
