#{"t_start": 1783431857.098685, "env_id": "None"}
r,l,t
-1396.900774,1000,712.129221
-767.991939,1000,716.496279
-2437.406829,413,718.301145
-743.251184,1000,722.687612
-830.433569,1000,727.093083
-441.411896,1000,731.567457
-709.958126,1000,735.938226
-1954.931357,1000,740.318807
-564.369358,1000,744.694126
-788.334141,1000,749.068766
-1353.998727,1000,753.43897
-674.927241,1000,757.840146
-878.931926,1000,762.220777
-583.12924,1000,766.598152
-539.200958,1000,770.968675
-1510.239025,1000,775.356264
-474.056811,1000,779.735061
-1352.124328,1000,784.114712
-1404.93395,1000,788.519091
-745.492797,1000,792.895547
-828.520154,1000,797.265424
-586.977054,1000,801.638866
-2402.94596,972,805.887471
-415.679929,1000,810.268419
-426.600102,1000,814.640189
-495.818635,1000,819.032086
-472.884375,1000,823.405499
-1009.157726,1000,827.784018
-817.389429,1000,832.151576
-641.321274,1000,836.532284
-774.747126,1000,840.898024
-925.845643,1000,845.291591
-780.191642,1000,849.737067
-479.648254,1000,854.102499
-958.736589,1000,858.476441
-421.072423,1000,862.848418
-911.244776,1000,867.218928
-876.828571,1000,871.59154
-483.167412,1000,875.983772
-732.724072,1000,880.375519
-664.817709,1000,884.756282
-579.618875,1000,889.125008
-799.215517,1000,893.499376
-862.192033,1000,897.872936
-467.927457,1000,902.243406
-858.873193,1000,906.656288
-1750.39425,1000,911.042481
-2010.484271,1000,915.430489
-670.853715,1000,919.811384
-811.85749,1000,924.190359
-448.262139,1000,928.575482
-447.369608,1000,933.324732
-375.696211,1000,937.843831
-478.117187,1000,942.32791
-463.254439,1000,946.802883
-462.861529,1000,951.299896
-790.214427,1000,955.792442
-1077.632652,1000,960.282634
-976.643276,1000,964.788036
-419.893698,1000,969.393645
-1103.142963,1000,973.884717
-441.895791,1000,978.3695
-852.148273,1000,982.854928
-463.434349,1000,987.352875
-1028.055559,1000,991.870969
-807.303428,1000,996.387815
-780.243522,1000,1000.874315
-1147.538987,1000,1005.368542
-591.459809,1000,1009.850249
-434.783454,1000,1014.340257
-654.582745,1000,1018.824823
-413.015078,1000,1023.370648
-400.638121,1000,1027.852132
-1135.087127,1000,1032.395387
-1170.942585,1000,1036.883752
-1079.266579,1000,1041.377219
-1160.195332,1000,1045.865683
-436.527018,1000,1050.350509
-867.922518,1000,1054.838591
-266.176879,1000,1059.386719
-277.594075,1000,1063.873178
-469.793627,1000,1068.367758
-516.507985,1000,1072.856732
-1109.807298,1000,1077.339336
-522.534144,1000,1081.826869
-517.028432,1000,1086.33156
-523.577654,1000,1090.890132
-1385.928756,1000,1095.421578
-414.470049,1000,1099.902152
-281.061847,1000,1104.395964
-468.101786,1000,1108.883407
-1030.349921,1000,1113.388288
-476.920463,1000,1117.902387
-427.105186,1000,1122.395573
-469.086134,1000,1126.918089
-389.762703,1000,1131.444235
-541.37774,1000,1135.934642
-305.992905,1000,1140.427188
-890.734062,1000,1144.938145
-437.567246,1000,1149.527121
-431.30998,1000,1154.006896
