#{"t_start": 1783397271.139304, "env_id": "None"}
r,l,t
-3431.037694,429,48.094042
-4253.667836,572,48.180318
-4440.769533,1000,48.653784
-3319.135977,490,48.728513
-5617.664861,776,48.846295
-4850.945135,716,49.267162
-4489.573788,731,49.376718
-3355.068834,425,49.439971
-3793.221123,406,49.500545
-3297.458522,570,49.912158
-3467.762855,666,50.010189
-3864.379939,461,50.077085
-5852.083238,531,50.479368
-3401.910519,447,50.548989
-3544.689572,380,50.606011
-6552.816523,1000,50.756043
-3527.441299,702,51.237454
-3717.845298,830,51.362123
-4253.560519,718,51.794091
-4161.630453,621,51.890599
-3322.342909,478,51.962616
-3715.783484,389,52.020473
-3471.413103,639,52.432874
-3016.086618,800,52.556705
-1789.271861,271,52.597343
-4210.930581,768,52.712794
-2170.771408,282,53.076987
-1806.377798,302,53.122676
-3186.566864,756,53.234802
-4067.255989,670,53.336304
-3268.605043,1000,53.844801
-1951.24727,270,53.885404
-2237.904669,290,53.928712
-3183.67718,1000,54.401813
-4192.70889,771,54.516024
-4871.187197,407,54.576517
-2941.916665,386,54.633282
-5098.495163,858,55.076049
-4374.289473,695,55.179116
-9187.203354,773,55.61183
-4830.177918,718,55.719432
-3291.229289,569,55.804225
-5818.421391,1000,56.276125
-4408.525517,708,56.378225
-6017.008062,1000,56.877967
-4975.265548,710,56.984855
-3317.414442,400,57.04657
-2670.009248,472,57.117261
-3086.899284,810,57.556178
-3109.097163,471,57.626711
-4331.083846,511,57.703353
-5696.204334,782,58.135716
-4612.753191,670,58.236957
-5750.15741,603,58.327975
-4513.861976,793,58.778157
-3818.471273,470,58.845323
-2415.34172,748,58.955213
-2282.143308,273,58.995937
-3401.053184,579,59.397758
-1848.792552,261,59.43701
-2972.002464,443,59.503323
-4636.60943,518,59.579678
-932.042978,400,59.639336
-2941.803573,417,60.028924
-6897.494814,874,60.163149
-2869.370055,590,60.249504
-3291.189798,588,60.670433
-4575.288341,614,60.768217
-6177.60901,834,60.897634
-2206.213049,330,60.947514
-6775.425611,561,61.362491
-6117.634329,579,61.442769
-2380.017272,362,61.493185
-4173.005842,586,61.574479
-2806.522404,622,61.982609
-5404.336408,705,62.089361
-2532.196676,457,62.159835
-5061.019922,800,62.61324
-4337.928381,800,62.735124
-3022.883959,410,62.796002
-8680.306038,1000,63.313184
-2058.523409,286,63.357935
-2997.741826,601,63.449508
-5341.332384,760,63.89074
-4299.563486,777,64.008983
-5475.642788,755,64.127137
-2661.916209,331,64.50862
-4357.960414,462,64.580246
-3298.400736,529,64.66405
-3860.72482,537,64.746539
-4291.856737,637,65.170633
-2928.715628,597,65.263472
-3486.607036,356,65.316852
-6914.618418,1000,65.801164
-9416.069156,633,65.897196
-4685.501301,730,66.00719
-3904.287544,589,66.095091
-4152.311521,649,66.517151
-4049.326458,720,66.626654
-4462.481356,822,67.070693
-5806.919551,498,67.145841
-4610.671361,559,67.227782
-3856.597787,607,67.316978
-5964.460531,612,67.731827
-3690.093156,552,67.815077
-4946.183902,584,67.901804
-3489.471538,613,68.304463
-5466.772474,660,68.403538
-6844.513518,960,68.547326
-3222.679779,425,68.925135
-6148.481957,1000,69.073754
-7105.045759,705,69.179794
-3645.922872,738,69.603125
-2726.007595,583,69.691022
-10092.32607,829,69.81566
-3669.174963,551,70.213207
-2458.917394,624,70.305711
-4016.477573,390,70.363769
-3105.78416,1000,70.823958
-4131.617236,440,70.889971
-5304.545142,814,71.010097
-4066.759667,706,71.428576
-5969.723074,793,71.548639
-4682.587694,639,71.644834
-6979.980671,733,72.068854
-4691.214949,513,72.14565
-4019.758562,527,72.225424
-3265.231457,516,72.302568
-2895.961849,547,72.696901
-6361.370903,1000,72.844961
-2700.467704,535,72.925316
-3197.787492,529,73.320828
-4594.428223,597,73.410024
-2049.733908,425,73.47312
-2885.441064,407,73.533707
-3509.748626,524,73.926586
-2770.04675,465,73.996425
-2495.646935,382,74.053541
-4084.659517,578,74.139738
-5459.845883,571,74.53869
-11471.116139,1000,74.690082
-2711.010344,400,74.74991
-4650.814071,667,75.168703
-3679.967362,460,75.237674
-3441.48232,619,75.331763
-2691.921017,398,75.392134
-3110.835949,471,75.790309
-3125.940278,532,75.870391
-3751.433663,492,75.946292
-2313.604794,492,76.020439
-2581.358995,482,76.406806
-12084.823526,968,76.551921
-2822.213585,508,76.628193
-2205.234098,463,77.021808
-4054.808895,454,77.09273
-3250.536344,532,77.174587
-3215.281758,431,77.24121
-2510.730638,596,77.332314
-4930.151397,669,77.800125
-3872.485242,507,77.874049
-3242.355475,550,77.951765
-4197.948992,712,78.37784
-2208.564787,396,78.437382
-2854.20792,466,78.508217
-2627.25069,468,78.578396
-2930.895114,461,78.963045
-3508.266152,500,79.038145
-2565.803758,448,79.105156
-2535.868707,494,79.178046
-3119.994831,652,79.59093
