#{"t_start": 1783397579.1472902, "env_id": "None"}
r,l,t
-424.923044,1000,628.763883
-1336.173923,1000,633.27052
-1405.021355,1000,638.02701
-1314.17102,1000,643.15873
-1964.609102,1000,647.719629
-1417.965134,1000,652.237282
-1037.104537,1000,656.884057
-2515.980463,1000,661.336626
-1567.083671,1000,665.859896
-1664.97758,1000,670.451154
-835.939064,1000,674.941119
-893.338229,1000,679.612647
-1245.287078,1000,684.003958
-1407.634143,503,686.331562
-3675.192767,1000,691.336118
-1694.683206,834,695.536383
-2067.482746,911,699.7352
-1930.101947,1000,704.142271
-2359.299893,1000,708.557346
-1781.277643,1000,713.326532
-1164.48571,1000,718.12415
-1189.877226,1000,723.093866
-1365.47023,1000,727.80934
-502.103404,1000,732.529745
-1212.544914,1000,737.106674
-962.502068,1000,741.7247
-999.404734,1000,746.643943
-907.262758,1000,751.534693
-859.522334,1000,756.503899
-2513.09517,566,759.259858
-1516.419471,1000,764.200665
-501.537381,1000,768.759756
-815.300507,1000,773.354469
-733.949043,1000,778.132248
-578.066383,1000,782.547252
-1275.745799,1000,786.886242
-717.588465,1000,791.218225
-415.435442,1000,795.544383
-413.584246,1000,799.877477
-1111.090335,1000,804.286697
-429.364946,1000,808.752979
-990.317872,1000,813.486605
-2234.018019,1000,818.135491
-849.43979,1000,822.830937
-1013.157587,1000,827.500098
-438.625547,1000,832.116653
-1027.926076,1000,836.591513
-420.579065,1000,840.989604
-518.430144,1000,845.49023
-838.374987,1000,850.162851
-501.310763,1000,855.261653
-418.682912,1000,860.461945
-310.781952,1000,865.1302
-1163.086559,1000,869.482725
-1214.278609,1000,874.038607
-3049.85906,992,878.404928
-413.729132,1000,882.776025
-1232.968705,1000,887.10514
-325.206004,1000,891.481881
-643.376031,1000,895.928677
-340.695066,1000,900.231975
-312.422983,1000,904.535875
-378.374918,1000,908.921121
-1728.799762,1000,913.226801
-332.841875,1000,917.52333
-496.413402,1000,921.818636
-1271.493705,1000,926.219771
-1372.444508,1000,930.539356
-1065.158061,1000,934.832242
-371.356072,1000,939.097034
-460.224555,1000,943.395003
-366.047471,1000,947.661086
-396.366502,1000,952.046115
-363.78247,1000,957.881473
-367.309889,1000,962.042093
-507.487582,1000,966.128218
-1374.502532,1000,971.115984
-794.778584,1000,976.582994
-1329.053382,617,980.396837
-931.808822,1000,985.82847
-439.53367,1000,990.24708
-423.319385,1000,995.476836
-369.57657,1000,1000.226382
-1124.708876,1000,1004.998282
-316.130424,1000,1009.339648
-1124.453233,1000,1014.145082
-1031.882232,1000,1018.71917
-287.635569,1000,1023.119007
-280.543587,1000,1027.509246
-572.735831,1000,1031.908776
-903.907948,1000,1036.281245
-370.613804,1000,1040.605552
-391.216811,1000,1045.008652
-251.928344,1000,1049.304522
-379.4199,1000,1053.713041
-295.41825,1000,1058.041269
-790.821343,1000,1062.389411
-510.65246,1000,1066.659411
-788.354539,1000,1070.944441
-406.234317,1000,1075.297117
-793.559323,1000,1079.548786
-266.885941,1000,1083.80461
-348.470254,1000,1088.121941
-238.423085,1000,1092.355274
-700.322835,1000,1096.602157
-405.3443,1000,1100.842082
-704.747332,1000,1105.255819
-333.421518,1000,1109.507727
-1143.275918,1000,1113.875341
-328.579507,1000,1118.13569
-826.870667,1000,1122.408673
-357.281186,1000,1126.654384
-862.854848,1000,1130.89718
-1377.731225,1000,1135.293457
-529.119447,1000,1139.563623
-390.402883,1000,1143.818676
-1104.009926,1000,1148.06404
-1022.992266,1000,1152.309243
-345.272772,1000,1156.592019
-334.450426,1000,1160.843283
-278.812548,1000,1165.162161
-483.635352,1000,1169.416729
-911.261334,1000,1173.880109
-506.446911,1000,1178.157532
-1174.992209,1000,1182.416578
-312.740975,1000,1186.665003
-363.528314,1000,1190.952208
-378.033865,1000,1195.323239
-362.6629,1000,1199.57974
-864.571418,1000,1203.831005
-395.014358,1000,1208.101065
-792.421823,1000,1212.361006
-988.65656,1000,1216.669395
-993.262624,1000,1220.929796
-995.793634,1000,1225.302039
-531.039686,1000,1229.571636
-330.249711,1000,1233.921064
-341.397273,1000,1238.193434
-261.154933,1000,1242.477891
-802.408045,1000,1246.740993
-416.978246,1000,1250.999196
-326.86515,1000,1255.410798
-262.037103,1000,1259.693125
-274.072999,1000,1263.965222
-877.185474,1000,1268.231728
-789.347508,1000,1272.498642
-440.494042,1000,1276.791449
-287.238583,1000,1281.062132
-311.340701,1000,1285.408168
-479.482284,1000,1289.681563
-608.853815,1000,1294.096735
-923.209536,1000,1298.421796
-910.937566,1000,1302.687437
-864.187525,1000,1306.943219
-537.292958,1000,1311.216743
-316.30952,1000,1315.762141
-540.362579,1000,1320.041843
-181.376966,1000,1324.302845
-421.565803,1000,1328.681037
-340.852285,1000,1333.123583
-401.605249,1000,1337.429827
-263.394534,1000,1341.700187
-621.895997,1000,1346.191469
